# Matter power spectrum P(k) at redshift z=0
# for k=1.02701e-05 to 1.02274 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.470509904880e-02       2.165424896737e+04 
       2.482547217350e-02       2.158615113528e+04 
       2.494608295056e-02       2.151781129576e+04 
       2.506693702343e-02       2.144919119796e+04 
       2.518804019238e-02       2.138029878771e+04 
       2.530939841968e-02       2.131116671935e+04 
       2.543101783503e-02       2.124176696600e+04 
       2.555290474125e-02       2.117213378902e+04 
       2.567506562017e-02       2.110229820416e+04 
       2.579750713878e-02       2.103220769426e+04 
       2.592023615566e-02       2.096186150583e+04 
       2.604325972768e-02       2.089141651483e+04 
       2.616658511695e-02       2.082069168304e+04 
       2.629021979818e-02       2.074980878251e+04 
       2.641417146624e-02       2.067873291456e+04 
       2.653844804414e-02       2.060746614811e+04 
       2.666305769134e-02       2.053609683906e+04 
       2.678800881249e-02       2.046449346355e+04 
       2.691331006645e-02       2.039275435291e+04 
       2.703897037589e-02       2.032086522465e+04 
       2.716499893720e-02       2.024881391981e+04 
       2.729140523094e-02       2.017667014972e+04 
       2.741819903280e-02       2.010433918481e+04 
       2.754539042502e-02       2.003194679488e+04 
       2.767298980846e-02       1.995937930227e+04 
       2.780100791516e-02       1.988667237644e+04 
       2.792945582158e-02       1.981388414311e+04 
       2.805834496256e-02       1.974106259901e+04 
       2.818768714584e-02       1.966807627983e+04 
       2.831749456744e-02       1.959503654385e+04 
       2.844777982784e-02       1.952182663164e+04 
       2.857855594890e-02       1.944856417559e+04 
       2.870983639176e-02       1.937519846230e+04 
       2.884163507569e-02       1.930187981781e+04 
       2.897396639791e-02       1.922838570470e+04 
       2.910684525454e-02       1.915477247394e+04 
       2.924028706262e-02       1.908124809015e+04 
       2.937430778348e-02       1.900754270724e+04 
       2.950892394730e-02       1.893386167942e+04 
       2.964415267915e-02       1.886005054230e+04 
       2.978001172648e-02       1.878621145081e+04 
       2.991651948823e-02       1.871234911447e+04 
       3.005369504565e-02       1.863837662161e+04 
       3.019155819493e-02       1.856444544347e+04 
       3.033012948184e-02       1.849050253273e+04 
       3.046943023845e-02       1.841637615802e+04 
       3.060948262208e-02       1.834233286811e+04 
       3.075030965679e-02       1.826823087009e+04 
       3.089193527731e-02       1.819405290289e+04 
       3.103438437600e-02       1.811996616362e+04 
       3.117768285266e-02       1.804574172899e+04 
       3.132185766769e-02       1.797151788407e+04 
       3.146693689879e-02       1.789719174673e+04 
       3.161294980144e-02       1.782285409699e+04 
       3.175992687354e-02       1.774862917428e+04 
       3.190789992445e-02       1.767426885359e+04 
       3.205690214893e-02       1.759989485699e+04 
       3.220696820627e-02       1.752544356850e+04 
       3.235813430519e-02       1.745106603632e+04 
       3.251043829482e-02       1.737665095129e+04 
       3.266391976250e-02       1.730207592305e+04 
       3.281862013889e-02       1.722759025218e+04 
       3.297458281108e-02       1.715308746795e+04 
       3.313185324440e-02       1.707846047517e+04 
       3.329047911388e-02       1.700384939428e+04 
       3.345051044602e-02       1.692913733288e+04 
       3.361199977221e-02       1.685451327469e+04 
       3.377500229452e-02       1.677979315006e+04 
       3.393957606554e-02       1.670495563701e+04 
       3.410578218324e-02       1.663016241751e+04 
       3.427368500278e-02       1.655520918342e+04 
       3.444335236675e-02       1.648021252249e+04 
       3.461485585591e-02       1.640519145433e+04 
       3.478827106268e-02       1.633011441134e+04 
       3.496367788973e-02       1.625491997268e+04 
       3.514116087659e-02       1.617964662388e+04 
       3.532080955736e-02       1.610430131831e+04 
       3.550271885322e-02       1.602876820541e+04 
       3.568698950368e-02       1.595324611499e+04 
       3.587372854125e-02       1.587756770281e+04 
       3.606304981494e-02       1.580180663688e+04 
       3.625507456838e-02       1.572585485817e+04 
       3.644993207978e-02       1.564976243876e+04 
       3.664776037142e-02       1.557352991702e+04 
       3.684870699800e-02       1.549714702419e+04 
       3.705292992431e-02       1.542059706551e+04 
       3.726059850459e-02       1.534381014701e+04 
       3.747189457761e-02       1.526683701165e+04 
       3.768701369414e-02       1.518968670283e+04 
       3.790616649605e-02       1.511219165209e+04 
       3.812958026974e-02       1.503451402077e+04 
       3.835750070029e-02       1.495654664837e+04 
       3.859019385790e-02       1.487829266468e+04 
       3.882794845343e-02       1.479968958669e+04 
       3.907107840721e-02       1.472079239904e+04 
       3.931992578332e-02       1.464145024340e+04 
       3.957486415221e-02       1.456177882533e+04 
       3.983630245662e-02       1.448163042178e+04 
       4.010468947164e-02       1.440105744454e+04 
       4.038051896836e-02       1.431997245160e+04 
       4.066433571451e-02       1.423834171328e+04 
       4.095674247464e-02       1.415611793191e+04 
       4.125840820894e-02       1.407319615094e+04 
       4.157007771619e-02       1.398974497405e+04 
       4.189258302375e-02       1.390544939850e+04 
       4.222685690115e-02       1.382037725069e+04 
       4.257394896646e-02       1.373438331188e+04 
       4.293504497282e-02       1.364741601231e+04 
       4.331149001288e-02       1.355941169421e+04 
       4.370481657097e-02       1.347021367374e+04 
       4.411677859665e-02       1.337969311814e+04 
       4.454939308342e-02       1.328771144724e+04 
       4.500499102545e-02       1.319411824192e+04 
       4.548628010755e-02       1.309869122691e+04 
       4.599642206441e-02       1.300116113702e+04 
       4.653912831065e-02       1.290125626673e+04 
       4.711877813331e-02       1.279849663299e+04 
       4.774056429161e-02       1.269256829502e+04 
       4.841067092048e-02       1.258282188105e+04 
       4.913648741805e-02       1.246838762357e+04 
       4.992685799073e-02       1.234834765375e+04 
       5.079235686973e-02       1.222121431471e+04 
       5.174555886448e-02       1.208524639685e+04 
       5.280123596477e-02       1.193794243459e+04 
       5.397634333631e-02       1.177582981200e+04 
       5.528955782630e-02       1.159434682833e+04 
       5.676002277356e-02       1.138753062161e+04 
       5.840493289759e-02       1.114796893919e+04 
       6.023587575095e-02       1.086739923448e+04 
       6.225465317815e-02       1.053819992619e+04 
       6.445041828805e-02       1.015581051704e+04 
       6.680026841739e-02       9.721424945870e+03 
       6.927378808362e-02       9.243477870841e+03 
       7.183939681541e-02       8.737113897070e+03 
       7.446943399338e-02       8.221697595926e+03 
       7.714246061450e-02       7.717381416443e+03 
       7.984322596801e-02       7.242257791018e+03 
       8.256149252241e-02       6.810351939268e+03 
       8.529064343067e-02       6.430587586470e+03 
       8.802650384727e-02       6.106738218886e+03 
       9.076647899998e-02       5.837954313811e+03 
       9.350897099064e-02       5.619468999610e+03 
       9.625300126751e-02       5.443608149581e+03 
       9.899797250377e-02       5.300643868151e+03 
       1.017435207112e-01       5.179927917921e+03 
       1.044894242437e-01       5.070673168000e+03 
       1.072355481173e-01       4.963024249393e+03 
       1.099818100545e-01       4.848837555092e+03 
       1.127281598180e-01       4.722337470039e+03 
       1.154745666476e-01       4.580562801019e+03 
       1.182210116270e-01       4.423261870294e+03 
       1.209674830486e-01       4.252705272258e+03 
       1.237139735979e-01       4.073064223525e+03 
       1.264604786432e-01       3.889723007924e+03 
       1.292069951960e-01       3.708464805742e+03 
       1.319535212793e-01       3.534749077424e+03 
       1.347000555423e-01       3.373404920901e+03 
       1.374465970260e-01       3.227691291796e+03 
       1.401931450194e-01       3.099595797515e+03 
       1.429396989720e-01       2.989815167369e+03 
       1.456862584390e-01       2.897426813805e+03 
       1.484328230478e-01       2.820592623197e+03 
       1.511793924769e-01       2.756566309533e+03 
       1.539259664426e-01       2.702260063415e+03 
       1.566725446898e-01       2.654560149491e+03 
       1.594191269866e-01       2.609416529545e+03 
       1.621657131203e-01       2.563576490141e+03 
       1.649123028944e-01       2.514514276866e+03 
       1.676588961265e-01       2.460458580061e+03 
       1.704054926469e-01       2.400690396052e+03 
       1.731520922972e-01       2.335432244746e+03 
       1.758986949292e-01       2.265645815424e+03 
       1.786453004040e-01       2.192829589078e+03 
       1.813919085915e-01       2.118805577550e+03 
       1.841385193691e-01       2.045426921366e+03 
       1.868851326219e-01       1.974462450684e+03 
       1.896317482414e-01       1.907482832314e+03 
       1.923783661256e-01       1.845690320653e+03 
       1.951249861781e-01       1.789875868132e+03 
       1.978716083081e-01       1.740390520077e+03 
       2.006182324296e-01       1.697061107343e+03 
       2.033648584613e-01       1.659369591420e+03 
       2.061114863265e-01       1.626390582142e+03 
       2.088581159522e-01       1.597043568690e+03 
       2.116047472696e-01       1.570127781419e+03 
       2.143513802131e-01       1.544488320614e+03 
       2.170980147207e-01       1.519075006938e+03 
       2.198446507333e-01       1.493017752946e+03 
       2.225912881950e-01       1.465650131922e+03 
       2.253379270524e-01       1.436633638499e+03 
       2.280845672548e-01       1.405811669063e+03 
       2.308312087538e-01       1.373360118615e+03 
       2.335778515036e-01       1.339702384725e+03 
       2.363244954601e-01       1.305431412120e+03 
       2.390711405817e-01       1.271221771582e+03 
       2.418177868283e-01       1.237744971682e+03 
       2.445644341619e-01       1.205600952203e+03 
       2.473110825460e-01       1.175254738662e+03 
       2.500577319459e-01       1.147012673616e+03 
       2.528043823282e-01       1.121025883074e+03 
       2.555510336611e-01       1.097309529831e+03 
       2.582976859141e-01       1.075734780756e+03 
       2.610443390581e-01       1.056068827602e+03 
       2.637909930650e-01       1.037987363063e+03 
       2.665376479080e-01       1.021083344148e+03 
       2.692843035614e-01       1.004939472686e+03 
       2.720309600006e-01       9.891606480447e+02 
       2.747776172019e-01       9.734001007588e+02 
