# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       3.196016290035e-10       8.810059140410e-14      -2.285557787508e-12       2.445339384021e-16       1.781472373903e-11       2.257599510311e-12      -1.061416611393e-14 
   80       3.240233328445e-10       9.062808321389e-14      -2.385910869238e-12       2.506927258236e-16       1.726775518987e-11       2.200231776391e-12      -1.044926060988e-14 
   81       3.284870974311e-10       9.315468431355e-14      -2.487265603657e-12       2.569283556982e-16       1.674331037794e-11       2.145074521476e-12      -1.028800752615e-14 
   82       3.329921532891e-10       9.567726327224e-14      -2.589527735326e-12       2.632413224941e-16       1.623987269067e-11       2.091948395033e-12      -1.013129642278e-14 
   83       3.375373131260e-10       9.819259276823e-14      -2.692599981104e-12       2.696321660849e-16       1.575550572683e-11       2.040627749713e-12      -9.980023714111e-15 
   84       3.421213338772e-10       1.006974493009e-13      -2.796383503500e-12       2.761014419140e-16       1.528832232324e-11       1.990897519877e-12      -9.834976831472e-15 
   85       3.467441141989e-10       1.031889324463e-13      -2.900782591059e-12       2.826496229352e-16       1.483801663069e-11       1.942738606688e-12      -9.696466813993e-15 
   86       3.514056609324e-10       1.056641978304e-13      -3.005700774486e-12       2.892771837427e-16       1.440455735875e-11       1.896170091542e-12      -9.564632711989e-15 
   87       3.561057126006e-10       1.081203627620e-13      -3.111039464928e-12       2.959846310460e-16       1.398771705035e-11       1.851192512843e-12      -9.439548142944e-15 
   88       3.608437264648e-10       1.105545074022e-13      -3.216697987855e-12       3.027725044576e-16       1.358706395962e-11       1.807787064486e-12      -9.321218371936e-15 
   89       3.656188655798e-10       1.129636759354e-13      -3.322573616928e-12       3.096413772789e-16       1.320195392972e-11       1.765914794343e-12      -9.209577392064e-15 
   90       3.704299858500e-10       1.153448777390e-13      -3.428561607880e-12       3.165918572872e-16       1.283152227073e-11       1.725515802744e-12      -9.104485004877e-15 
   91       3.752756230856e-10       1.176950885537e-13      -3.534555232390e-12       3.236245875228e-16       1.247467563744e-11       1.686508440965e-12      -9.005723900798e-15 
   92       3.801539800579e-10       1.200112516539e-13      -3.640445811960e-12       3.307402470751e-16       1.213008390721e-11       1.648788509711e-12      -8.912996739555e-15 
   93       3.850632821716e-10       1.222903393787e-13      -3.746123994199e-12       3.379395157657e-16       1.179649477438e-11       1.612254771615e-12      -8.825903641795e-15 
   94       3.900029337862e-10       1.245295457702e-13      -3.851483727688e-12       3.452229604119e-16       1.147374929900e-11       1.576891618913e-12      -8.743877132954e-15 
   95       3.949725126820e-10       1.267261252065e-13      -3.956418950353e-12       3.525911328321e-16       1.116190479037e-11       1.542697414923e-12      -8.666231971415e-15 
   96       3.999714091616e-10       1.288773365941e-13      -4.060822450562e-12       3.600446047126e-16       1.086092205691e-11       1.509658853450e-12      -8.592180719768e-15 
   97       4.049988181653e-10       1.309804453670e-13      -4.164585918063e-12       3.675839678996e-16       1.057066171393e-11       1.477750518476e-12      -8.520830556349e-15 
   98       4.100537313874e-10       1.330327254852e-13      -4.267599994909e-12       3.752098346893e-16       1.029088049131e-11       1.446934443852e-12      -8.451180086771e-15 
   99       4.151349293914e-10       1.350314614335e-13      -4.369754326388e-12       3.829228381196e-16       1.002122754127e-11       1.417159672993e-12      -8.382116155460e-15 
  100       4.202409737263e-10       1.369739502205e-13      -4.470937611958e-12       3.907236322615e-16       9.761240746023e-12       1.388361818570e-12      -8.312410657191e-15 
  101       4.253701990422e-10       1.388575033770e-13      -4.571037656171e-12       3.986128925094e-16       9.510343025528e-12       1.360462622200e-12      -8.240717348623e-15 
  102       4.305207052059e-10       1.406794489555e-13      -4.669941419608e-12       4.065913158731e-16       9.267838645207e-12       1.333369514142e-12      -8.165568659831e-15 
  103       4.356903494171e-10       1.424371335279e-13      -4.767535069805e-12       4.146596212684e-16       9.032909523660e-12       1.306975172986e-12      -8.085372505844e-15 
  104       4.408770325254e-10       1.441280014086e-13      -4.863705236766e-12       4.228185627087e-16       8.804800157005e-12       1.281182518998e-12      -7.998804855861e-15 
  105       4.460796190128e-10       1.457498402027e-13      -4.958342862950e-12       4.310689702806e-16       8.583408794423e-12       1.255984487627e-12      -7.906054703617e-15 
  106       4.512971271681e-10       1.473005723081e-13      -5.051339970728e-12       4.394117152721e-16       8.368769610116e-12       1.231394261545e-12      -7.807742113073e-15 
  107       4.565284413870e-10       1.487781834673e-13      -5.142588567641e-12       4.478476981943e-16       8.160869617953e-12       1.207420640417e-12      -7.704538625252e-15 
  108       4.617723075217e-10       1.501807256150e-13      -5.231980710566e-12       4.563778492143e-16       7.959647051899e-12       1.184067880092e-12      -7.597168418760e-15 
  109       4.670273282291e-10       1.515063197254e-13      -5.319408569884e-12       4.650031285879e-16       7.764989746446e-12       1.161335531780e-12      -7.486409470307e-15 
  110       4.722919583199e-10       1.527531586594e-13      -5.404764493648e-12       4.737245270930e-16       7.576733517037e-12       1.139218281240e-12      -7.373094715229e-15 
  111       4.775645001072e-10       1.539195100121e-13      -5.487941071749e-12       4.825430664618e-16       7.394660540494e-12       1.117705787959e-12      -7.258113208005e-15 
  112       4.828430987556e-10       1.550037189603e-13      -5.568831200085e-12       4.914597998145e-16       7.218497735450e-12       1.096782524340e-12      -7.142411282780e-15 
